TS[3]_GOWAWA[0.0;1;NONE;0.0;0.0;2;W-OWA;0.5;0.6]_N_gcp1,AC[2]_GOWAWA[0.2;2;S-OWA;0.6;0.0;2;S-OWA;0.8;0.1]_B_pie,AC[4]_GOWAWA[0.0;1;NONE;0.0;0.0;0;S-OWA;0.0;1.0]_T_pie,TS[3]_Q1_T_eps,GOWAWA[0.8;1;AO2-OWA;1.0;0.0;1;ES2-OWA;0.9;0.0]_F_mw,Class
0.0,8.414988686891629,60.794,-917.51,60.209770278884285,APP
0.0,10.229129145976136,25.7049,-863.585,36.612383165473695,APP
0.0,0.0,26.9798,-908.46,80.03365071088432,APP
9.275,0.0,104.8024,-956.68,75.78371314619629,APP
0.0,6.98165044939984,34.2678,-908.46,73.18528331786442,APP
9.275,8.032230375504051,54.5532,-893.29,52.87896304762749,APP
0.0,0.0,35.7006,-895.24,69.96207896749719,APP
0.0,6.956283049276856,58.9648,-900.5575,72.0324415637014,APP
0.0,0.0,54.5532,-882.96,53.85078097892467,APP
0.0,0.0,69.7248,-849.53,81.40249595120414,APP
0.0,7.8942375570151935,58.9648,-886.1924999999999,37.307482735218194,APP
0.0,0.0,35.8797,-893.94,71.17583734839496,APP
0.0,0.0,36.8064,-882.96,85.57751930416207,APP
0.0,7.447645207639951,64.6676,-928.27,73.80627514289615,APP
0.0,0.0,26.9798,-883.0925,76.81208145854733,APP
0.0,0.0,94.8676,-895.24,0.0,APP
0.0,0.0,94.8676,-895.24,0.0,APP
0.0,0.0,58.2452,-895.99,0.0,APP
0.0,0.0,94.8676,-895.24,0.0,APP
0.0,0.0,94.8676,-895.24,0.0,APP
0.0,10.559826341117969,29.760900000000003,-932.64,67.24890005268976,APP
0.0,0.0,49.381800000000005,-872.6600000000001,0.0,APP
0.0,0.0,58.5374,-895.24,0.0,APP
0.0,0.0,58.5374,-926.51,67.1718914542257,APP
0.0,0.0,34.136799999999994,-888.825,76.46569896619778,APP
9.895783761368852,0.0,30.4707,-897.02,82.25574043103008,APP
0.0,0.0,29.760900000000003,-918.71,42.73540880786403,APP
0.0,0.0,29.760900000000003,-932.64,42.73540880786403,APP
0.0,0.0,64.2372,-882.75,73.74614995468279,APP
0.0,0.0,19.2556,-858.46,76.16253863858894,APP
0.0,0.0,30.4707,-882.1700000000001,78.30296860960358,APP
0.0,0.0,31.1264,-1010.455,106.09635237647844,APP
0.0,0.0,64.6676,-928.77,76.76902276282928,APP
0.0,9.263272096022572,33.7902,-886.8125,77.95288136838937,APP
0.0,10.701211300121376,32.7156,-874.4725000000001,77.95288136838937,APP
0.0,9.263272096022572,32.7156,-882.34,73.13960788578025,APP
0.0,9.263272096022572,32.7156,-886.8125,77.95288136838937,APP
