TS[3]_GOWAWA[0.0;1;NONE;0.0;0.0;0;S-OWA;0.0;1.0]_T_cdch,GV[1]_HM_H_pah,TS[4]_V_U_z3,TS[1]_CHOQUET[D;-0.75;AO1;1.0]_C_pie,GV[3]_CHOQUET[A;-0.75;AO1;0.3]_H_pah,ES_SD_H_z2,AC[1]_CHOQUET[A;-0.75;AO1;0.2]_H_pah,CHOQUET[A;-0.75;AO1;0.9]_U_pbs,AC[1]_CHOQUET[A;0.5;AO2;0.5]_F_z3,AC[4]_AM_T_hwhh,AC[3]_CHOQUET[A;-0.75;AO1;0.3]_H_pah,GV[2]_GOWAWA[0.9;1;S-OWA;1.0;0.0;1;ES2-OWA;0.9;0.0]_U_pah,TS[2]_GOWAWA[0.0;1;NONE;0.0;0.0;0;S-OWA;0.0;1.0]_U_isa,GV[1]_P2_U_pbs,AC[2]_CHOQUET[A;-0.5;AO1;0.2]_U_pbs,AC[2]_SIC_T_scv,CHOQUET[D;-0.25;AO1;0.8]_B_scv,TS[2]_GOWAWA[0.5;1;ES1-OWA;0.7;0.0;1;ES2-OWA;0.9;0.0]_F_cdch,GV[2]_CHOQUET[A;-0.75;AO2;0.7]_N_gcp1,AC[1]_HM_H_pah,CHOQUET[D;-0.75;AO1;0.9]_B_isa,ES_VC_T_gcp2,TS[4]_GOWAWA[0.5;1;AO2-OWA;1.0;0.0;1;ES2-OWA;0.9;0.0]_F_cch,TS[3]_GOWAWA[0.7;1;AO2-OWA;1.0;0.0;1;ES2-OWA;0.9;0.0]_D_bi,ES_Q2_A_khh,TS[3]_GOWAWA[0.7;1;S-OWA;0.8;0.2;1;ES2-OWA;0.9;0.0]_C_gcp1,ES_Q3_F_pah,SIC_T_ptt,TS[3]_HM_U_khh,GV[7]_P2_T_z3,AC[1]_CHOQUET[A;-0.75;AO1;0.3]_A_pie,TS[3]_CHOQUET[A;-0.75;AO1;0.3]_F_scm,GV[2]_N3_P_z3,AC[7]_P2_T_z3,TS[3]_GOWAWA[0.0;1;NONE;0.0;0.0;0;S-OWA;0.0;1.0]_T_pah,ES_Q3_U_pie,TS[3]_GOWAWA[0.0;1;NONE;0.0;0.0;2;W-OWA;0.5;0.6]_H_cch,AC[4]_GOWAWA[0.8;1;S-OWA;1.0;0.0;1;ES2-OWA;0.9;0.0]_F_hwhh,AC[2]_GOWAWA[0.2;2;S-OWA;0.6;0.0;2;S-OWA;0.8;0.1]_B_pie,AC[4]_N3_A_khh,GV[2]_CHOQUET[A;-0.75;AO1;0.3]_H_pah,CHOQUET[A;-0.75;AO1;1.0]_F_khh,TS[2]_CHOQUET[A;-0.25;AO2;1.0]_T_khh,TS[3]_GOWAWA[0.0;1;NONE;0.0;0.0;2;W-OWA;0.5;0.6]_N_scm,AC[4]_GOWAWA[0.0;1;NONE;0.0;0.0;0;S-OWA;0.0;1.0]_T_pie,TS[4]_P2_P_ptt,SIC_T_scm,TS[3]_GOWAWA[0.2;1;AO2-OWA;1.0;0.0;1;ES2-OWA;0.9;0.0]_F_cch,AC[2]_CHOQUET[A;-0.25;AO1;0.8]_H_pah,GOWAWA[0.0;1;NONE;0.0;0.0;2;W-OWA;0.5;0.6]_N_ptt,AC[1]_AM_T_kh,CHOQUET[A;-0.5;AO2;0.0]_N_isa,GOWAWA[0.8;1;AO2-OWA;1.0;0.0;1;ES2-OWA;0.9;0.0]_F_mw,Class
2.0,1.6443255418097813,0.4996473684210528,18.744789868667915,0.542268290104357,1.5265607951211884,1.6450749068130996,0.923376990216336,0.0,-0.2021052631578947,1.6268048703130713,0.209071573098746,19.53,1.1243372936979366,0.9834542717993564,0.8699027150303126,167.65020202341634,0.0,0.0,1.6443255418097813,151.3329296959227,-8.77844308153491,0.1131847368252393,0.0678218358907558,0.4986600319624652,22.380231535000004,-0.0180177111599921,0.7667799542445681,0.8973607038123167,0.3147030717880859,36.2095746745562,85.61893556298091,-1.1157328651600924,2.2029215025166016,2.5,8.847320202404651,0.0,0.0,8.414988686891629,0.607479203958586,0.7901394274925492,0.7659750139491839,2.013243819527382,0.0,60.794,1.0866492841145512,0.7091108943860889,0.1648161644247415,1.6038331206614336,0.0,0.1363636363636363,0.0,60.209770278884285,APP
2.0,0.0,10.638747727272728,15.945095384373197,0.0,1.1404983865568703,0.0,0.8790333756116452,0.0,1.8875000000000004,0.0,0.2828305438560001,78.51,0.925,0.9276876182934336,0.7821952376742991,190.5119338299357,0.0,0.0,0.0,166.92149400980884,3.170056500258915,0.06707205,0.0426451556244604,-0.0555868827160493,13.328979372152377,-0.0094196428571428,0.71875,0.7946223639543876,1.1817160170269163,35.9394,75.0,-0.2594112011986436,8.272012119188414,1.83,8.810145241146252,0.0,0.0,10.229129145976136,0.3468,0.6826500000000001,0.68,2.005030095147154,0.0,25.7049,0.7069794905087416,0.71875,0.10083528,1.3653000000000002,0.0,0.0666666666666666,0.0,36.612383165473695,APP
1.0,1.681081872642057,0.2884391891891892,14.365415865135184,0.5225806144119552,2.0770191969932954,1.6418558337065343,0.8330361275446413,0.0,3.0213513513513512,1.567741843235863,0.3339246515190108,0.0,0.0,0.7087345657084033,0.7307059131405327,199.99613910685105,0.5255656738365014,0.0,1.681081872642057,179.6739885344498,70.36086123347626,0.1317446461121628,0.0242342374572512,-0.1140150797863229,21.9931323845792,0.46888608158295,0.6286822389876745,1.010690831997518,0.5607152225009571,35.844218095307724,95.0214601006399,-0.661152538144755,3.925006557506699,2.03,4.945475767725798,0.0,0.0722701703435346,0.0,0.6421750273390022,0.7900785932935959,0.9665549784983108,2.046227886974992,0.0,26.9798,1.0403227521165863,0.5624789344407473,0.2021798680447459,1.6123731448877958,0.0,0.0,1.5929664634146343,80.03365071088432,APP
1.0,1.633523749148874,0.4795760869565215,16.050570966509586,0.5394329632610566,1.9324177977457933,1.5961630144982142,0.847319504092786,0.4078413637405396,0.84375,1.6182988897831665,0.2082882937797404,19.53,0.8140397717556557,0.874,0.862902454084006,189.9,0.0,0.0,1.633523749148874,189.42,5.782389779783419,0.0443146905982625,0.024135034703289,-0.1592419894809775,22.21699489642066,0.8806494212300793,0.6823699741976087,1.1328837762792543,0.4621431669451904,38.499039214076745,115.36389382434676,-1.3765530731721711,3.235002168616333,2.26,8.215927718002195,0.5,0.072177258762393,0.0,0.6885882822805822,0.8117293501957086,0.7813619044728692,2.146593070452029,73.0,104.8024,1.637384674237722,0.6414373445257102,0.063813154461498,1.6527504046799133,0.0,0.037037037037037,1.6372883597883598,75.78371314619629,APP
1.0,1.6283966972994242,1.2000119540229888,14.814251113827307,0.5444179748962432,1.915847350673204,1.5592718919388435,0.8166062198248925,0.0,1.1256666666666668,1.6332539246887297,0.3332800032562608,19.93,0.0,0.710636580553037,0.85,208.99942279752847,0.4736331474545657,0.0,1.6283966972994242,181.1100843279125,7.699622943866489,0.1116473786708069,0.0414378996138734,-0.0634498038748022,23.81106085935624,-0.0330956673574572,0.6950121530681121,0.89215022663904,0.8303863174666523,35.8103630336461,93.2919917945618,-0.4682224367485327,5.812704222266565,1.79,2.1988835934622317,0.0,0.0,6.98165044939984,0.6062411745849845,0.8006982255892593,0.9396178797057844,2.125297444777607,0.0,34.2678,0.8845337754998392,0.647958966571247,0.1711870811960737,1.6349904412131229,0.0,0.0303030303030303,1.167638146167558,73.18528331786442,APP
2.0,1.4016508337622635,4.906443678160919,16.995070654546335,0.4978840820343038,1.4818414544788556,1.380028414691045,0.8521835053171198,0.0,-0.0886666666666667,1.4936522461029114,0.5624292883028612,0.0,0.8803198358172633,0.8174615957606025,0.8905639062229567,167.78155181990198,0.0,0.0,1.4016508337622635,153.23821097517828,7.775329804486269,0.1179460749692862,0.0777425824017526,-0.1740600767054661,22.40993905284171,-0.0563431910176447,0.6434863575438808,0.7667343197499336,1.0283990426383478,35.79024541965497,79.48589714654983,-0.23175,7.198793298468437,2.0700000000000003,8.396821609860439,0.5,0.0,8.032230375504051,0.4833314635790796,0.6654478665009493,0.6816870415647918,2.1661041620460963,73.0,54.5532,0.9429899257150098,0.608799010679265,0.1758258361602075,1.3826150054628774,0.0,0.0606060606060606,0.8879411764705882,52.87896304762749,APP
1.0,1.608029755936282,0.1538999999999999,17.393704077883598,0.5184915532127886,2.2953125048853766,1.5698384687660802,0.986641766417112,0.0,0.8652173913043477,1.5554746596383655,0.0,19.93,0.9196,0.0,0.8483188130311928,178.5972587024957,0.4998070760493543,0.0,1.608029755936282,154.84722481582637,-7.894212944091205,0.0560788327295284,0.029912055507372,-0.152207338754042,23.15369329938004,-0.0192305996472663,0.6326488665627631,1.0292645766188104,0.6838601541236038,35.8421008633554,99.1135747651732,0.4802000960283389,4.787021078865227,1.79,-0.4651091265156201,0.0,0.0,0.0,0.4415035846360634,0.7846202291485315,0.9524932249322492,1.9479060562834656,0.0,35.7006,0.8076857371527617,0.6326488665627631,0.0887535191305209,1.5923079609422512,0.0,0.1538461538461538,0.0,69.96207896749719,APP
2.0,1.6283966972994244,0.4948664516129032,15.826478870818132,0.5327800292079506,1.9573306016772665,1.5592718919388435,0.8166062198248925,0.0,1.1170967741935487,1.598340087623852,0.3331620029306347,78.51,0.0,0.710636580553037,0.8536357365970748,208.99942279752847,0.4717698327091091,0.0,1.6283966972994244,181.1100843279125,7.715376877048542,0.0875629943953713,0.0307242885341363,-0.1140094854526536,24.23324543784832,-0.014366789064788,0.6809121702311908,0.9651448556506542,0.7941924045589858,35.8103630336461,100.24469579643142,-0.4682224367485327,5.5593468319129,2.03,-0.2201398941694638,0.0,0.0,6.956283049276856,0.6062411745849845,0.799402278523861,0.9396178797057844,2.102132898116042,0.0,58.9648,0.8849745759059974,0.6346812788520181,0.1302975749110984,1.6306359089421958,0.0,0.0588235294117647,1.134042016806723,72.0324415637014,APP
1.0,1.7452464821019222,1.4085763736263734,17.998545454545454,0.6911999999999999,0.8936337607495047,1.724246841857355,0.9271652683204016,0.0,2.3542857142857136,2.0736,0.2074405656984695,78.51,0.0,0.874,0.8007048827786958,200.44050116191625,0.0,0.0,1.7452464821019222,171.3218504756695,2.9764940657589354,0.080455972005,0.0861283266548769,-0.0866952947845805,22.68641788049877,-0.0418642943012698,0.6854507712799176,0.8938444001139926,0.576669778706557,0.0,82.16411717348893,0.0,4.036688450945898,1.6700000000000002,8.338583327844397,0.0,0.0,0.0,0.0,0.7992,0.8155932203389827,2.345210003002035,0.0,54.5532,0.8564656054584641,0.6854507712799176,0.2044780272079999,1.5984,0.0,0.1176470588235294,4.507534722222222,53.85078097892467,APP
2.0,0.0,1.4285714285714284e-05,18.561,0.0,0.6247621667068951,0.0,1.25,0.9016518560622718,0.5142857142857142,0.0,0.0,0.0,0.0,0.0,0.7896900821428475,193.6,0.0,0.0,0.0,132.16,1.7963357445973076,0.0,0.0,-0.0901868795666414,24.296292094,0.8322122448979592,0.4846856983727908,1.0,0.8114637557764213,40.38991194240339,150.7095413664965,2.4140172528059685,5.680246290434949,1.68,-0.1155102040816326,0.0,0.0,0.0,0.4760999999999999,0.0,0.69,2.436703276594669,0.0,69.7248,2.218591895775336,0.4846856983727908,0.0,0.0,0.0,0.2,0.0,81.40249595120414,APP
2.0,1.5552827584402047,0.8282916666666668,16.869412677855014,0.558544707214792,1.7730762349691147,1.4969690548476735,0.7963737240223765,0.0,-1.5247999999999995,1.675634121644376,0.141518564561882,78.51,0.0,0.8464,0.7040082637566002,217.44138544067425,0.0,0.0,1.5552827584402047,185.2587777339456,3.014689893862424,0.0580654400008774,0.0378721559250015,-0.0426608702699247,24.47316267740983,-0.0067460317460317,0.6084561884790418,0.7763938315539738,0.9232212021846472,35.7006,75.0,0.4374401143609633,6.462548415292531,2.03,-0.7500542137666375,0.0,0.0,7.8942375570151935,0.5959325479570212,0.8233573347702713,0.68,2.2421662715124038,0.0,58.9648,0.7763074992123503,0.6084561884790418,0.0872948553206839,1.6667677901374185,0.0,0.1428571428571428,0.0,37.307482735218194,APP
1.0,1.598609690608409,0.1582981283422458,14.150274251924255,0.5306094586664322,1.5526462152943872,1.6007633011902938,0.91637702232414,0.0215455693391744,-0.2108823529411764,1.591828375999298,0.3203901845328165,19.93,0.7360000000000001,0.7360000000000001,0.8562471758686627,167.4187996209219,0.0,0.0,1.598609690608409,158.9121822610181,-11.151964709630624,0.2600261423773258,0.109507151119287,0.5371176919993466,21.627708271558788,0.1658437476009892,0.6571050379690802,0.8075618031992244,0.5768669671949371,36.081790372918135,93.79400779860174,-1.1147989434392649,4.038068770364559,1.52,-0.509149158824872,0.0,0.0,0.0,1.0342190416253283,0.8102174520957022,0.8427916249249221,2.05312495321878,0.0,35.8797,1.1521649187507836,0.6225219777009889,0.4124173388756945,1.639039710192463,0.0,0.0,0.73524893314367,71.17583734839496,APP
0.0,0.0,0.08664,19.29114285714286,0.0,0.0,0.0,0.95,0.0661104607123178,1.95,0.0,0.30530322,19.75,0.9025,0.9025,0.7185463540765221,0.0,0.0,0.0,0.0,0.0,0.898702838954856,0.0,0.0,-0.0572066326530612,25.05732166,1.1470876629818594,0.4471726222832957,1.0,1.167872341855371,0.0,128.20716446120906,0.0,8.175106392987596,1.34,8.28377808956916,0.0,0.0,0.0,0.0,0.0,0.8335462087594058,2.6092695508880426,0.0,36.8064,1.91,0.4471726222832957,0.0,0.0,0.0,0.3333333333333333,0.0,85.57751930416207,APP
2.0,1.6083044085441012,0.3616856666666667,17.278332624627627,0.5518729779946216,2.11595351404068,1.5913686196693373,0.902459282932162,0.0272002397497042,1.2724000000000002,1.6556189339838652,0.3038663246937427,19.93,0.7290336069071165,1.0155234328362923,0.8947689010581996,177.37389560726646,0.4736331474545657,0.0,1.6083044085441012,155.45831969983334,328.5336123822209,0.1158762804914783,0.0567425705437428,-0.1860336952925481,20.95059409683084,0.8716300552495788,0.7134858542157324,0.9891936824605152,0.4924260974189884,36.587539439382816,102.1807621420929,0.5304500786963958,3.446982681932918,2.23,9.72927536635562,0.0,0.0,7.447645207639951,0.8238947842826388,0.8094466916920512,0.8585675573800361,1.994058272363388,0.0,64.6676,1.095037507511566,0.6361399932772297,0.1781197561237021,1.627076251270216,0.0,0.1071428571428571,1.5801416256157634,73.80627514289615,APP
2.0,0.0,0.0081363636363636,15.417061786215296,0.0,0.8424488551391769,0.0,1.1076162393336833,0.0,-0.0054545454545455,0.0,0.0,0.0,0.0,0.0,0.8595824360039366,175.5950579391397,0.0,0.0,0.0,162.80762809741543,7.106426765303694,0.1278049999999999,0.0289496202531645,-0.2004505603343266,23.2981168113394,-0.0566024691358024,0.8018946236940709,0.864406779661017,0.919899671437165,36.42302593010207,151.9102908466878,0.0,6.439297700060155,2.19,-0.3482367346938775,0.0,0.0,0.0,0.4770561870211157,0.0,1.0129464285714285,2.258063176557461,0.0,26.9798,1.1178742581985048,0.7677668870527622,0.2328516363636363,0.0,0.0,0.0,1.2306666666666668,76.81208145854733,APP
1.0,1.5990000000000002,0.0,9.739999999999998,0.533,2.7281918068360893,1.5990000000000002,0.0,0.0,6.12,1.599,0.0,0.0,0.0,0.0,0.3868528072345416,0.0,0.0,0.0,1.5990000000000002,0.0,-4.346770263008613,0.0,0.0,0.2800000000000001,17.05,0.0,0.3333333333333333,0.0,0.4396,0.0,0.0,0.6925682436616175,3.0772,2.53,0.0,0.0,0.0,0.0,0.3951112412470323,0.7835768473235019,0.0,2.082566844919786,0.0,94.8676,1.18,0.3333333333333333,0.0,1.5968980743873438,0.0,0.0,0.0,0.0,APP
1.0,1.599,0.0,9.74,0.533,2.6567462405016693,1.5989999999999998,0.0,0.0,6.12,1.599,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.599,0.0,-4.232937554330251,0.0,0.0,0.28,17.05,0.0,0.3868528072345416,0.0,0.0,0.0,0.0,0.6050140881595181,0.0,2.53,0.0,0.0,0.0,0.0,0.3136,0.7880476655113863,0.0,2.087379679144385,0.0,94.8676,1.18,0.3868528072345416,0.0,1.5990156658094428,0.0,0.0,0.0,0.0,APP
0.0,1.563410174880763,0.0,16.29236363636364,0.522197809668441,2.2167742083185176,1.5459770607872263,0.0,0.0,1.6342857142857148,1.5665934290053236,0.0,0.0,0.0,0.0,0.6494834702380792,198.65150415343,0.0,0.0,1.563410174880763,175.82553028855713,-25.943731473500897,0.0,0.0,-0.0850532627865961,21.5964784915,0.0,0.5699627784245295,0.0,0.7467207868202063,35.9996,0.0,0.5047,5.227045507741443,2.6,0.0,0.0,0.0,0.0,0.3136,0.7813662321091085,0.0,1.7599997333351522,0.0,58.2452,0.906189825588436,0.4846856983727908,0.0,1.5792319061953322,0.0,0.2,0.0,0.0,APP
1.0,1.599,0.0,9.74,0.533,2.6871900618349374,1.599,0.0,0.0,7.080000000000001,1.599,0.0,0.0,0.0,0.0,0.4181656600790516,0.0,0.0,0.0,1.599,0.0,-5.927396545051352,0.0,0.0,-0.1905555555555555,17.050000000000004,0.0,0.3509453429964405,0.0,0.0,0.0,0.0,0.6050140881595181,0.0,2.53,0.0,0.0,0.0,0.0,0.3136,0.7810212233906667,0.0,2.1187244897959188,0.0,94.8676,1.18,0.3509453429964405,0.0,1.5815019142389672,0.0,0.0,0.0,0.0,APP
1.0,1.599,0.0,9.74,0.533,2.596085755517332,1.599,0.0,0.0,9.0,1.599,0.0,0.0,0.0,0.0,0.579380164285695,0.0,0.0,0.0,1.599,0.0,-6.767045234216969,0.0,0.0,-0.175,17.05,0.0,0.4181656600790516,0.0,0.0,0.0,0.0,0.4801999999999999,0.0,2.53,0.0,0.0,0.0,0.0,0.0,0.7866237433246893,0.0,2.1405357142857144,0.0,94.8676,0.0,0.4181656600790516,0.0,1.5754685367945394,0.0,0.0,0.0,0.0,APP
1.0,0.0,3.72645,0.0,0.0,1.2401211579822788,0.0,0.963311445975826,0.0,0.65,0.0,0.41686422,98.26,0.0,0.9372189314129924,1.0,144.22520103908553,0.0,0.0,0.0,125.01035140811672,-22.416580083925467,0.0,0.0,0.2732444444444444,0.0,0.3274305555555555,1.0,0.7956371986222732,0.0,0.0,105.0,0.6642022293641597,0.0,2.02,8.997496527777777,0.0,0.0,10.559826341117969,0.3666,0.0,1.0,1.7711849179082313,0.0,29.760900000000003,1.29,1.0,0.0,0.0,0.0,0.0,0.0,67.24890005268976,APP
